,Scientific Name,n_checklists,prevalence
57,Erithacus rubecula,862,29.61181724
139,Turdus merula,688,23.63448987
137,Troglodytes troglodytes,535,18.37856407
111,Prunella modularis,520,17.86327722
61,Fringilla coelebs,495,17.00446582
49,Cyanistes caeruleus,484,16.6265888
102,Periparus ater,479,16.45482652
107,Pica pica,460,15.80212985
44,Corvus cornix,423,14.53108897
99,Parus major,402,13.80968739
31,Carduelis carduelis,297,10.20267949
46,Corvus monedula,289,9.927859842
93,Motacilla alba,270,9.275163174
129,Sturnus vulgaris,205,7.042253521
100,Passer domesticus,196,6.733081415
140,Turdus philomelos,196,6.733081415
130,Sylvia atricapilla,173,5.942974923
116,Regulus regulus,167,5.736860186
45,Corvus frugilegus,161,5.530745448
114,Pyrrhula pyrrhula,153,5.255925799
106,Phylloscopus trochilus,137,4.706286499
105,Phylloscopus collybita,99,3.400893164
15,Anthus pratensis,95,3.263483339
94,Motacilla cinerea,95,3.263483339
141,Turdus viscivorus,92,3.16042597
85,Linaria cannabina,70,2.404671934
56,Emberiza schoeniclus,69,2.370319478
35,Chloris chloris,64,2.198557197
3,Acrocephalus schoenobaenus,59,2.026794916
43,Corvus corax,55,1.889385091
119,Saxicola rubicola,55,1.889385091
14,Anthus petrosus,47,1.614565441
7,Alauda arvensis,44,1.511508073
6,Aegithalos caudatus,34,1.167983511
1,Acanthis cabaret,31,1.064926142
86,Locustella naevia,31,1.064926142
98,Oenanthe oenanthe,27,0.927516317
48,Curruca communis,26,0.893163861
66,Garrulus glandarius,25,0.858811405
33,Certhia familiaris,24,0.824458949
47,Cuculus canorus,24,0.824458949
122,Spinus spinus,24,0.824458949
101,Passer montanus,19,0.652696668
55,Emberiza citrinella,17,0.583991755
4,Acrocephalus scirpaceus,10,0.343524562
95,Muscicapa striata,7,0.240467193
113,Pyrrhocorax pyrrhocorax,7,0.240467193
138,Turdus iliacus,3,0.103057369
87,Loxia curvirostra,1,0.034352456
